x-axis,1
second,Volt
-2.250000E-03,+763.819087E-03
-2.249900E-03,+743.718585E-03
-2.249800E-03,+743.718585E-03
-2.249700E-03,+743.718585E-03
-2.249600E-03,+743.718585E-03
-2.249500E-03,+783.919590E-03
-2.249400E-03,+743.718585E-03
-2.249300E-03,+743.718585E-03
-2.249200E-03,+743.718585E-03
-2.249100E-03,+743.718585E-03
-2.249000E-03,+743.718585E-03
-2.248900E-03,+783.919590E-03
-2.248800E-03,+723.618083E-03
-2.248700E-03,+743.718585E-03
-2.248600E-03,+763.819087E-03
-2.248500E-03,+763.819087E-03
-2.248400E-03,+743.718585E-03
-2.248300E-03,+723.618083E-03
-2.248200E-03,+743.718585E-03
-2.248100E-03,+763.819087E-03
-2.248000E-03,+743.718585E-03
-2.247900E-03,+743.718585E-03
-2.247800E-03,+743.718585E-03
-2.247700E-03,+743.718585E-03
-2.247600E-03,+763.819087E-03
-2.247500E-03,+763.819087E-03
-2.247400E-03,+763.819087E-03
-2.247300E-03,+743.718585E-03
-2.247200E-03,+743.718585E-03
-2.247100E-03,+763.819087E-03
-2.247000E-03,+763.819087E-03
-2.246900E-03,+763.819087E-03
-2.246800E-03,+723.618083E-03
-2.246700E-03,+763.819087E-03
-2.246600E-03,+743.718585E-03
-2.246500E-03,+743.718585E-03
-2.246400E-03,+743.718585E-03
-2.246300E-03,+743.718585E-03
-2.246200E-03,+743.718585E-03
-2.246100E-03,+763.819087E-03
-2.246000E-03,+763.819087E-03
-2.245900E-03,+743.718585E-03
-2.245800E-03,+743.718585E-03
-2.245700E-03,+723.618083E-03
-2.245600E-03,+743.718585E-03
-2.245500E-03,+743.718585E-03
-2.245400E-03,+723.618083E-03
-2.245300E-03,+783.919590E-03
-2.245200E-03,+743.718585E-03
-2.245100E-03,+743.718585E-03
-2.245000E-03,+763.819087E-03
-2.244900E-03,+763.819087E-03
-2.244800E-03,+743.718585E-03
-2.244700E-03,+743.718585E-03
-2.244600E-03,+743.718585E-03
-2.244500E-03,+743.718585E-03
-2.244400E-03,+783.919590E-03
-2.244300E-03,+763.819087E-03
-2.244200E-03,+743.718585E-03
-2.244100E-03,+763.819087E-03
-2.244000E-03,+723.618083E-03
-2.243900E-03,+743.718585E-03
-2.243800E-03,+743.718585E-03
-2.243700E-03,+763.819087E-03
-2.243600E-03,+743.718585E-03
-2.243500E-03,+763.819087E-03
-2.243400E-03,+743.718585E-03
-2.243300E-03,+743.718585E-03
-2.243200E-03,+763.819087E-03
-2.243100E-03,+743.718585E-03
-2.243000E-03,+763.819087E-03
-2.242900E-03,+763.819087E-03
-2.242800E-03,+763.819087E-03
-2.242700E-03,+743.718585E-03
-2.242600E-03,+763.819087E-03
-2.242500E-03,+743.718585E-03
-2.242400E-03,+763.819087E-03
-2.242300E-03,+723.618083E-03
-2.242200E-03,+763.819087E-03
-2.242100E-03,+743.718585E-03
-2.242000E-03,+743.718585E-03
-2.241900E-03,+723.618083E-03
-2.241800E-03,+763.819087E-03
-2.241700E-03,+763.819087E-03
-2.241600E-03,+743.718585E-03
-2.241500E-03,+743.718585E-03
-2.241400E-03,+763.819087E-03
-2.241300E-03,+763.819087E-03
-2.241200E-03,+743.718585E-03
-2.241100E-03,+743.718585E-03
-2.241000E-03,+743.718585E-03
-2.240900E-03,+723.618083E-03
-2.240800E-03,+743.718585E-03
-2.240700E-03,+763.819087E-03
-2.240600E-03,+743.718585E-03
-2.240500E-03,+763.819087E-03
-2.240400E-03,+743.718585E-03
-2.240300E-03,+763.819087E-03
-2.240200E-03,+743.718585E-03
-2.240100E-03,+763.819087E-03
-2.240000E-03,+763.819087E-03
-2.239900E-03,+743.718585E-03
-2.239800E-03,+723.618083E-03
-2.239700E-03,+763.819087E-03
-2.239600E-03,+763.819087E-03
-2.239500E-03,+743.718585E-03
-2.239400E-03,+763.819087E-03
-2.239300E-03,+743.718585E-03
-2.239200E-03,+783.919590E-03
-2.239100E-03,+763.819087E-03
-2.239000E-03,+723.618083E-03
-2.238900E-03,+743.718585E-03
-2.238800E-03,+743.718585E-03
-2.238700E-03,+763.819087E-03
-2.238600E-03,+723.618083E-03
-2.238500E-03,+743.718585E-03
-2.238400E-03,+743.718585E-03
-2.238300E-03,+763.819087E-03
-2.238200E-03,+763.819087E-03
-2.238100E-03,+763.819087E-03
-2.238000E-03,+763.819087E-03
-2.237900E-03,+743.718585E-03
-2.237800E-03,+763.819087E-03
-2.237700E-03,+783.919590E-03
-2.237600E-03,+743.718585E-03
-2.237500E-03,+763.819087E-03
-2.237400E-03,+723.618083E-03
-2.237300E-03,+783.919590E-03
-2.237200E-03,+743.718585E-03
-2.237100E-03,+743.718585E-03
-2.237000E-03,+763.819087E-03
-2.236900E-03,+783.919590E-03
-2.236800E-03,+763.819087E-03
-2.236700E-03,+743.718585E-03
-2.236600E-03,+763.819087E-03
-2.236500E-03,+723.618083E-03
-2.236400E-03,+763.819087E-03
-2.236300E-03,+743.718585E-03
-2.236200E-03,+743.718585E-03
-2.236100E-03,+743.718585E-03
-2.236000E-03,+743.718585E-03
-2.235900E-03,+743.718585E-03
-2.235800E-03,+743.718585E-03
-2.235700E-03,+763.819087E-03
-2.235600E-03,+743.718585E-03
-2.235500E-03,+743.718585E-03
-2.235400E-03,+763.819087E-03
-2.235300E-03,+763.819087E-03
-2.235200E-03,+743.718585E-03
-2.235100E-03,+763.819087E-03
-2.235000E-03,+743.718585E-03
-2.234900E-03,+763.819087E-03
-2.234800E-03,+763.819087E-03
-2.234700E-03,+763.819087E-03
-2.234600E-03,+723.618083E-03
-2.234500E-03,+763.819087E-03
-2.234400E-03,+743.718585E-03
-2.234300E-03,+743.718585E-03
-2.234200E-03,+763.819087E-03
-2.234100E-03,+783.919590E-03
-2.234000E-03,+723.618083E-03
-2.233900E-03,+723.618083E-03
-2.233800E-03,+763.819087E-03
-2.233700E-03,+723.618083E-03
-2.233600E-03,+743.718585E-03
-2.233500E-03,+743.718585E-03
-2.233400E-03,+723.618083E-03
-2.233300E-03,+743.718585E-03
-2.233200E-03,+743.718585E-03
-2.233100E-03,+743.718585E-03
-2.233000E-03,+743.718585E-03
-2.232900E-03,+743.718585E-03
-2.232800E-03,+763.819087E-03
-2.232700E-03,+743.718585E-03
-2.232600E-03,+763.819087E-03
-2.232500E-03,+723.618083E-03
-2.232400E-03,+743.718585E-03
-2.232300E-03,+743.718585E-03
-2.232200E-03,+723.618083E-03
-2.232100E-03,+723.618083E-03
